zip;city;state_id;state_name;population;county_name
01340;Colrain;MA;Massachusetts;1808;Franklin
01341;Conway;MA;Massachusetts;1836;Franklin
01342;Deerfield;MA;Massachusetts;1439;Franklin
01343;Drury;MA;Massachusetts;45;Berkshire
01344;Erving;MA;Massachusetts;1459;Franklin
01346;Heath;MA;Massachusetts;427;Franklin
01347;Lake Pleasant;MA;Massachusetts;175;Franklin
01349;Millers Falls;MA;Massachusetts;1292;Franklin
01350;Monroe Bridge;MA;Massachusetts;91;Franklin
01351;Montague;MA;Massachusetts;2099;Franklin
01354;Gill;MA;Massachusetts;1608;Franklin
01355;New Salem;MA;Massachusetts;949;Franklin
01360;Northfield;MA;Massachusetts;2997;Franklin
01364;Orange;MA;Massachusetts;7785;Franklin
01366;Petersham;MA;Massachusetts;1269;Worcester
01367;Rowe;MA;Massachusetts;595;Franklin
01368;Royalston;MA;Massachusetts;1170;Worcester
01370;Shelburne Falls;MA;Massachusetts;4041;Franklin
01373;South Deerfield;MA;Massachusetts;4634;Franklin
01375;Sunderland;MA;Massachusetts;3659;Franklin
01376;Turners Falls;MA;Massachusetts;5123;Franklin
01378;Warwick;MA;Massachusetts;773;Franklin
01379;Wendell;MA;Massachusetts;830;Franklin
01420;Fitchburg;MA;Massachusetts;40737;Worcester
01430;Ashburnham;MA;Massachusetts;6253;Worcester
01431;Ashby;MA;Massachusetts;3215;Middlesex
01432;Ayer;MA;Massachusetts;7762;Middlesex
01434;Devens;MA;Massachusetts;1875;Worcester
01436;Baldwinville;MA;Massachusetts;3392;Worcester
01438;East Templeton;MA;Massachusetts;711;Worcester
01440;Gardner;MA;Massachusetts;20555;Worcester
01450;Groton;MA;Massachusetts;11301;Middlesex
01451;Harvard;MA;Massachusetts;4625;Worcester
01452;Hubbardston;MA;Massachusetts;4642;Worcester
01453;Leominster;MA;Massachusetts;41579;Worcester
01460;Littleton;MA;Massachusetts;9935;Middlesex
01462;Lunenburg;MA;Massachusetts;11271;Worcester
01463;Pepperell;MA;Massachusetts;12083;Middlesex
01464;Shirley;MA;Massachusetts;7598;Middlesex
01467;Still River;MA;Massachusetts;363;Worcester
01468;Templeton;MA;Massachusetts;4024;Worcester
01469;Townsend;MA;Massachusetts;7632;Middlesex
01473;Westminster;MA;Massachusetts;7665;Worcester
01474;West Townsend;MA;Massachusetts;1823;Middlesex
01475;Winchendon;MA;Massachusetts;10798;Worcester
01501;Auburn;MA;Massachusetts;16549;Worcester
01503;Berlin;MA;Massachusetts;3144;Worcester
01504;Blackstone;MA;Massachusetts;9246;Worcester
01505;Boylston;MA;Massachusetts;4581;Worcester
01506;Brookfield;MA;Massachusetts;3431;Worcester
01507;Charlton;MA;Massachusetts;13482;Worcester
01510;Clinton;MA;Massachusetts;13899;Worcester
01515;East Brookfield;MA;Massachusetts;2159;Worcester
01516;Douglas;MA;Massachusetts;8794;Worcester
01518;Fiskdale;MA;Massachusetts;3919;Worcester
01519;Grafton;MA;Massachusetts;6741;Worcester
01520;Holden;MA;Massachusetts;15645;Worcester
01521;Holland;MA;Massachusetts;2539;Hampden
01522;Jefferson;MA;Massachusetts;3176;Worcester
01523;Lancaster;MA;Massachusetts;7749;Worcester
01524;Leicester;MA;Massachusetts;6902;Worcester
01525;Linwood;MA;Massachusetts;400;Worcester
01527;Millbury;MA;Massachusetts;13630;Worcester
01529;Millville;MA;Massachusetts;3242;Worcester
